Agentes,Corrida,Tiempo (s),Tiempo de ciclo promedio (ms)
2,1,69.793,133.715
2,2,69.354,107.867
2,3,73.793,111.432
3,1,113.666,129.068
3,2,92.817,139.81
3,3,87.352,121.345
3,3,87.352,121.345
4,1,107.001,167.707
4,2,115.518,168.313
4,3,114.923,160.484
5,1,336.836,236.169
5,2,386.477,282.401
5,3,282.82,226.396
